Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude.data,longitude.data,altitude.data,utm_easting.data,utm_northing.data,zone_num.data,zone_letter.data,quality.data
1646352755.2037828,675,0,0,,42.33715833333334,-71.08955,9.4,327861.33967358735,4689326.155386082,19.0,T,0
1646352756.1992383,676,0,0,,42.33718333333333,-71.08956,9.5,327860.584047933,4689328.951689871,19.0,T,0
1646352757.1988676,677,0,0,,42.33721,-71.08956833333333,9.6,327859.9702775943,4689331.929690348,19.0,T,0
1646352758.1994607,678,0,0,,42.33723666666667,-71.08957833333334,9.7,327859.2192010677,4689334.911064984,19.0,T,0
1646352759.199614,679,0,0,,42.337266666666665,-71.08958833333334,9.9,327858.4772209088,4689338.262581009,19.0,T,0
1646352760.2018743,680,0,0,,42.337295,-71.08959999999999,10.1,327857.5933870692,4689341.432400623,19.0,T,0
1646352761.2034678,681,0,0,,42.337323333333345,-71.08961,10.3,327856.8468607445,4689344.598846259,19.0,T,0
1646352762.2000942,682,0,0,,42.33735166666668,-71.08962166666667,10.5,327855.9630286528,4689347.768666154,19.0,T,0
1646352763.200729,683,0,0,,42.33738166666667,-71.08963166666668,10.5,327855.2210518762,4689351.120182675,19.0,T,0
1646352764.2028382,684,0,0,,42.33741333333334,-71.08964333333334,10.7,327854.34631745727,4689354.660144142,19.0,T,0
1646352765.2014267,685,0,0,,42.33744333333333,-71.08965666666666,10.9,327853.3297297305,4689358.01840932,19.0,T,0
1646352766.1989384,686,0,0,,42.33746333333333,-71.089665,11.0,327852.69777395495,4689360.25612814,19.0,T,0
1646352767.199527,687,0,0,,42.337471666666666,-71.08966833333335,11.1,327852.4459013715,4689361.188229818,19.0,T,0
1646352768.197719,688,0,0,,42.33747499999999,-71.08967166666667,11.3,327852.18038482364,4689361.565119567,19.0,T,0
1646352769.2054613,689,0,0,,42.33747833333333,-71.08967333333334,11.4,327852.05217457726,4689361.938635093,19.0,T,0
1646352770.2013354,690,0,0,,42.33747833333333,-71.08967333333334,11.4,327852.05217457726,4689361.938635093,19.0,T,0
1646352771.2021756,691,0,0,,42.33747666666667,-71.08967333333334,11.4,327852.0476265587,4689361.753564445,19.0,T,0
1646352772.2025516,692,0,0,,42.33747666666667,-71.08967333333334,11.4,327852.0476265587,4689361.753564445,19.0,T,0
1646352773.2008758,693,0,0,,42.33747666666667,-71.08967333333334,11.3,327852.0476265587,4689361.753564445,19.0,T,0
1646352774.2037575,694,0,0,,42.33747833333333,-71.08967166666667,11.1,327852.1894808534,4689361.935260861,19.0,T,0
1646352775.2048945,695,0,0,,42.33748333333333,-71.08967333333334,10.9,327852.0658186339,4689362.493847036,19.0,T,0
1646352776.2026625,696,0,0,,42.33749666666667,-71.08967833333332,10.7,327851.69028408686,4689363.984534929,19.0,T,0
1646352777.1991878,697,0,0,,42.337518333333335,-71.08968499999999,10.5,327851.20018375426,4689366.403950341,19.0,T,0
1646352778.1997948,698,0,0,,42.33754999999999,-71.08969666666668,10.4,327850.3254538501,4689369.943912505,19.0,T,0
1646352779.1992834,699,0,0,,42.337585,-71.08971,10.3,327849.32251513447,4689373.857390418,19.0,T,0
1646352780.2010114,700,0,0,,42.337626666666665,-71.08972499999999,10.2,327848.20046431036,4689378.514525452,19.0,T,0
1646352781.202874,701,0,0,,42.337669999999996,-71.08974333333335,10.3,327846.808351671,4689383.363480088,19.0,T,0
1646352782.2197075,702,0,0,,42.337716666666665,-71.08976166666666,10.4,327845.42533767386,4689388.582576402,19.0,T,0
1646352783.2035136,703,0,0,,42.337763333333335,-71.08978166666668,10.6,327843.9050203683,4689393.8050475,19.0,T,0
1646352784.2163033,704,0,0,,42.33781166666666,-71.08979999999998,10.9,327842.52655949816,4689399.209215249,19.0,T,0
1646352785.199277,705,0,0,,42.337860000000006,-71.08981333333334,11.4,327841.56001739507,4689404.603259975,19.0,T,0
1646352786.1988764,706,0,0,,42.33790666666667,-71.08982499999999,12.0,327840.7262340548,4689409.808859773,19.0,T,0
1646352787.1995952,707,0,0,,42.33795833333334,-71.08983833333335,12.2,327839.76879226544,4689415.57304624,19.0,T,0
1646352788.2006726,708,0,0,,42.33800333333333,-71.08985,13.1,327838.9304637426,4689420.593575751,19.0,T,0
1646352789.1958764,709,0,0,,42.33805000000001,-71.08985833333334,13.5,327838.3712952335,4689425.792427019,19.0,T,0
1646352790.1983056,710,0,0,,42.338096666666665,-71.08986666666668,14.0,327837.81212785747,4689430.991278394,19.0,T,0
1646352791.1997235,711,0,0,,42.33814166666666,-71.08987833333333,14.3,327836.9738034352,4689436.011808349,19.0,T,0
1646352792.200156,712,0,0,,42.338186666666665,-71.08989166666666,14.7,327835.9981757549,4689441.035713071,19.0,T,0
1646352793.1993203,713,0,0,,42.33823,-71.08990666666666,15.3,327834.8806965234,4689445.877921953,19.0,T,0
1646352794.1999235,714,0,0,,42.338281666666674,-71.08993000000001,14.6,327833.0994396026,4689451.6623577075,19.0,T,0
1646352795.1998956,715,0,0,,42.33833,-71.089955,14.3,327831.17178414145,4689457.080027397,19.0,T,0
1646352796.1972885,716,0,0,,42.33837666666667,-71.08997833333332,14.7,327829.37688751926,4689462.309252335,19.0,T,0
1646352797.2023916,717,0,0,,42.33842500000001,-71.09,14.9,327827.72384688095,4689467.7201737575,19.0,T,0
